sample_id,source,cell_type,method,description,path_R1,path_R2,md5sum_R1,md5sum_R2,internal_path,sequencing_facility,batch,batch_id,target_depth,indexing_pcr_cycles,ng_dna_for_prep,ng_unmethylated_lambda,sorted_cells,ng_sorted_dna
Healthy_B12_Nu-58_PBMC_emseq,pbmc,bulk,emseq,,Nu-58-PBMC_R1.fastq.gz,Nu-58-PBMC_R2.fastq.gz,8fb4f3ab6e522dd0f139589b7e4354a2,ff12456a99ab50048bd7b61d53b3ca18,Active/abul/EM-seq_24_healthy_PBMC_irf/EM-seq_24_healthy_pbmc_FASTQ/FASTQ/,medgenome,B12,P2003860_04292022,30x,6,100,0.5,,
Healthy_B12_Nu-61_PBMC_emseq,pbmc,bulk,emseq,,Nu-61-PBMC_R1.fastq.gz,Nu-61-PBMC_R2.fastq.gz,f29ff49763f8776c734f89186c0c555f,de1717d743a39b923b2c5d2db30c2778,Active/abul/EM-seq_24_healthy_PBMC_irf/EM-seq_24_healthy_pbmc_FASTQ/FASTQ/,medgenome,B12,P2003860_04292022,30x,6,100,0.5,,
Healthy_B12_Nu-62_PBMC_emseq,pbmc,bulk,emseq,,Nu-62-PBMC_R1.fastq.gz,Nu-62-PBMC_R2.fastq.gz,ea467c862a7a6bd53b3e9ab0dd29fb6e,19b5a0b32a821d558cbc9342fbf687c1,Active/abul/EM-seq_24_healthy_PBMC_irf/EM-seq_24_healthy_pbmc_FASTQ/FASTQ/,medgenome,B12,P2003860_04292022,30x,6,100,0.5,,
Healthy_B12_Nu-63_PBMC_emseq,pbmc,bulk,emseq,,Nu-63-PBMC_R1.fastq.gz,Nu-63-PBMC_R2.fastq.gz,84cb8f3e37043370fa65444599202146,f88e2254dd060b3c6cea8c87948df6b3,Active/abul/EM-seq_24_healthy_PBMC_irf/EM-seq_24_healthy_pbmc_FASTQ/FASTQ/,medgenome,B12,P2003860_04292022,30x,6,100,0.5,,
Healthy_B12_Nu-64_PBMC_emseq,pbmc,bulk,emseq,,Nu-64-PBMC_R1.fastq.gz,Nu-64-PBMC_R2.fastq.gz,b846404ce5d9a36205be805c6f96b834,b42ae526cb0303c70298109c4a796d92,Active/abul/EM-seq_24_healthy_PBMC_irf/EM-seq_24_healthy_pbmc_FASTQ/FASTQ/,medgenome,B12,P2003860_04292022,30x,6,100,0.5,,
Healthy_B12_Nu-65_PBMC_emseq,pbmc,bulk,emseq,,Nu-65-PBMC_R1.fastq.gz,Nu-65-PBMC_R2.fastq.gz,778bf87bddaf2364e1b83ebef69b4ef1,5d1a860026a6a4536fd13d0a4d36e945,Active/abul/EM-seq_24_healthy_PBMC_irf/EM-seq_24_healthy_pbmc_FASTQ/FASTQ/,medgenome,B12,P2003860_04292022,30x,6,100,0.5,,
Healthy_B12_Nu-66_PBMC_emseq,pbmc,bulk,emseq,,Nu-66-PBMC_R1.fastq.gz,Nu-66-PBMC_R2.fastq.gz,518c5adf2c08bee4f8e0c7901034fd50,d25ff963f9f52fad655413575bb6ded2,Active/abul/EM-seq_24_healthy_PBMC_irf/EM-seq_24_healthy_pbmc_FASTQ/FASTQ/,medgenome,B12,P2003860_04292022,30x,6,100,0.5,,
Healthy_B12_Nu-67_PBMC_emseq,pbmc,bulk,emseq,,Nu-67-PBMC_R1.fastq.gz,Nu-67-PBMC_R2.fastq.gz,d3246099a32654c540fe3706ca7fdcce,6452d73d6c3b1f7438794c57e506d377,Active/abul/EM-seq_24_healthy_PBMC_irf/EM-seq_24_healthy_pbmc_FASTQ/FASTQ/,medgenome,B12,P2003860_04292022,30x,6,100,0.5,,
Healthy_B12_Nu-68_PBMC_emseq,pbmc,bulk,emseq,,Nu-68-PBMC_R1.fastq.gz,Nu-68-PBMC_R2.fastq.gz,4eaaf1bd37cd15ccd769cdec069c70b4,27e450e6355cbbe926a1b32b98c66206,Active/abul/EM-seq_24_healthy_PBMC_irf/EM-seq_24_healthy_pbmc_FASTQ/FASTQ/,medgenome,B12,P2003860_04292022,30x,6,100,0.5,,
Healthy_B12_Nu-69_PBMC_emseq,pbmc,bulk,emseq,,Nu-69-PBMC_R1.fastq.gz,Nu-69-PBMC_R2.fastq.gz,9a14d99be63a0e642791984be2744afa,25b0a0dc55a65bed677d7d537944471a,Active/abul/EM-seq_24_healthy_PBMC_irf/EM-seq_24_healthy_pbmc_FASTQ/FASTQ/,medgenome,B12,P2003860_04292022,30x,6,100,0.5,,
